        Industries                  specialization  Anual Salary
       "government                             N/A         65000
          academic                             N/A        162461
          academic          cell molecular biology         48000
          academic                        medicine         55000
          academic              nonprofit research         37440
          academic                press production         42000
          academic                      publishing        295800
          academic                        research        432500
          academic             research psychology         36883
          academic         research social science         45000
          academic                         science        127322
          academic             scientific research         35600
          academic                            stem         32000
     accessibility                             N/A         78000
       accounting,                             N/A    6168428552
         actuarial                             N/A         41000
    administration                             N/A        105360
    administration                    food service         29120
    administration                          in mlm         42000
    administration                         support         67558
    administration                            work         51000
   administration,                             N/A         63300
             adult                             N/A         35568
         aerospace                         defense        285500
         aerospace  defense government contracting         52000
         aerospace           defense manufacturing         60000
         aerospace                             N/A        427000
         aerospace                        aviation        166000
         aerospace                     contracting        122000
         aerospace                            data         57000
         aerospace                         defense         68800
         aerospace                   manufacturing        154500
        affordable                             N/A        144200
       agriculture                             N/A      11002992
           airline                             N/A         80000
        americorps                             N/A         15400
        analytical                             N/A         86368
         analytics                             N/A        162000
            animal                             N/A        494197
         animation                             N/A         79000
           apparel                             N/A        398000
       archaeology                             N/A        103000
       archaeology    cultural resource management         79000
       archaeology       cultural resource manager        110000
         architect                             N/A        190500
     architectural                             N/A         53500
      architecture                             N/A       2468380
     architecture,                             N/A        150000
          archives                             N/A        423375
               art                             N/A      29699117
              arts                             N/A         61000
             arts,                             N/A         27030
       association                             N/A        184000
           auction                             N/A         75000
              auto                             N/A        241200
        automotive                             N/A       1278220
         automtive                             N/A         50000
          aviation                             N/A        156100
            awards                             N/A         35000
               b2b                             N/A        115000
        background                             N/A         69000
            beauty                             N/A        386560
           beauty,                             N/A        105000
              beer                             N/A         60000
          behavior                             N/A         90000
        behavioral                             N/A        105976
          benefits                             N/A        197000
          beverage                             N/A        329600
               big                             N/A        220000
               bio                             N/A        107250
    bioinformatics                             N/A        110000
        biological                             N/A        148364
         biologist                             N/A         37000
           biology                             N/A         69000
        biomedical                             N/A        812545
         biopharma                             N/A        495000
biopharmaceuticals                             N/A        150000
        bioscience                             N/A         47500
           biotech                             N/A       9916636
     biotechnology                             N/A       2519850
    biotechnology,                             N/A         95000
            bitech                             N/A        175000
              book                             N/A        325100
             brain                             N/A         28000
           brewing                             N/A         57000
          business                             N/A      97163970
             buyer                             N/A         76650
              call                             N/A         95480
            cancer                             N/A         71700
          cannabis                             N/A        427000
            career                             N/A         46800
         caregiver                             N/A         33280
               cbd                             N/A         60000
          chaplain                             N/A         40000
           charity                             N/A         17400
          chemical                             N/A        157902
         chemicals                             N/A        211400
         chemistry                             N/A        218766
             child                             N/A        118572
         childcare                             N/A        273080
        children's                             N/A         55000
            church                             N/A        150000
             clean                             N/A        200000
          cleaning                             N/A         41600
            clergy                             N/A        263150
          clinical                             N/A        990926
          coaching                             N/A         44000
            coffee                             N/A         95000
           college                             N/A         37500
